year,temperature,wind_speed,humidity,precipitation
1911,,,,
1912,,,,
1913,,,,
1914,,,,
1915,,,,
1916,,,,
1919,,,,
1920,,,,
1921,,,,
1922,,,,
1923,,,,
1924,,,,
1925,,,,
1926,,,,
1927,,,,
1928,,,,
1929,,,,
1930,,,,
1931,,,,
1932,,,,
1933,,,,
1934,,,,
1935,,,,
1936,,,,
1937,,,,
1938,,,,
1939,,,,
1940,62.9,7.6,73.0,0.16
1946,69.6,6.7,49.0,0.0
1947,54.9,6.0,44.0,0.0
1948,70.0,11.8,38.0,0.01
1949,71.1,9.3,46.0,0.0
1950,70.4,5.7,83.0,0.17
1951,71.2,1.7,58.0,0.0
1952,65.1,8.9,50.0,0.0
1953,83.1,13.5,64.0,0.0
1954,79.8,11.6,57.0,0.03
1955,57.6,14.3,60.0,0.02
1956,80.7,15.2,65.0,0.27
1957,75.4,3.8,62.0,0.05
1958,73.3,7.3,41.0,0.0
1959,76.2,1.5,82.0,0.37
1960,69.3,12.2,70.0,0.14
1961,64.4,4.3,36.0,0.0
1962,75.7,12.0,74.0,0.03
1963,64.8,10.5,49.0,0.0
1964,62.0,7.7,44.0,0.0
1965,74.1,6.7,49.0,0.0
1966,59.4,6.1,48.0,0.01
1967,52.3,14.3,87.0,0.11
1968,62.7,7.3,72.0,0.03
1969,77.1,6.1,65.0,0.0
1970,76.1,13.7,61.0,0.02
1971,70.0,6.6,40.0,0.0
1972,74.3,4.3,35.0,0.0
1973,67.5,16.7,92.0,0.69
1974,63.6,7.0,46.0,0.01
1975,83.3,6.3,54.0,0.13
1976,73.7,7.5,67.0,0.55
1977,83.5,1.9,48.0,0.09
1978,82.0,3.0,50.0,0.0
1979,63.5,6.6,61.0,0.42
1980,74.4,7.6,69.0,0.01
1981,72.4,9.6,70.0,0.55
1982,71.8,9.3,79.0,0.04
1983,62.6,9.5,85.0,0.02
1984,64.9,10.1,53.0,0.19
1985,77.3,12.3,43.0,0.0
1986,73.4,6.7,56.0,0.0
1987,67.8,4.8,62.0,0.0
1988,83.4,4.7,32.0,0.0
1989,63.6,6.8,50.0,0.0
1990,68.4,8.5,60.0,0.0
1991,73.2,9.1,96.0,0.4
1992,52.1,10.7,67.0,0.0
1993,68.8,10.1,60.0,0.4
1994,73.3,10.0,37.0,0.0
1995,74.6,14.2,80.0,0.35
1996,58.0,8.1,90.0,0.84
1997,68.1,3.2,95.0,0.84
1998,70.9,9.4,85.0,0.2
1999,79.6,7.7,51.0,0.1
2000,66.3,10.7,73.0,0.12
2001,60.2,11.3,57.0,0.1
2002,61.3,4.7,58.0,0.0
2003,59.5,3.6,67.0,0.01
2004,71.7,10.8,85.0,0.21
2005,70.7,1.5,38.0,0.0
2006,81.8,7.2,66.0,0.0
2007,78.4,7.8,55.0,0.15
2008,68.5,8.1,53.0,0.0
2009,81.6,4.7,46.0,0.0
2010,82.3,4.1,57.0,0.0
2011,79.7,12.7,63.0,0.02
2012,88.8,8.5,39.0,0.0
2013,63.5,5.8,54.0,0.07
2014,73.7,5.2,48.0,0.0
2015,71.4,8.7,56.0,0.0
2016,78.7,6.5,68.0,0.01
2017,73.4,12.0,67.0,0.32
2018,86.0,0.4,52.0,0.01
2019,76.1,4.7,73.0,0.15
2020,80.9,2.9,61.0,0.02
2021,61.3,9.0,39.0,0.0
2022,73.4,9.7,66.0,0.0
2023,70.5,3.4,41.0,0.0
2024,76.5,14.3,77.0,0.5
